URL_ID,Article_Title,Polarity_Score,Subjectivity_Score
bctech2011,ML and AI-based insurance premium model to predict premium to be charged by the insurance company - Blackcoffer Insights,0.0,0.0
bctech2012,Streamlined Integration: Interactive Brokers API with Python for Desktop Trading Application - Blackcoffer Insights,0.0,0.0
bctech2013,Efficient Data Integration and User-Friendly Interface Development: Navigating Challenges in Web Application Deployment - Blackcoffer Insights,0.0,0.0
bctech2014,"Effective Management of Social Media Data Extraction: Strategies for Authentication, Security, and Reliability - Blackcoffer Insights",0.31666666666666665,0.43333333333333335
bctech2015,Streamlined Trading Operations Interface for MetaTrader 4: Empowering Efficient Management and Monitoring - Blackcoffer Insights,0.0,0.0
bctech2016,"Efficient AWS Infrastructure Setup and Management: Addressing Security, Scalability, and Compliance - Blackcoffer Insights",0.0,0.0
bctech2017,Streamlined Equity Waterfall Calculation and Deal Management System - Blackcoffer Insights,0.0,0.0
bctech2018,Automated Orthopedic Case Report Generation: Harnessing Web Scraping and AI Integration - Blackcoffer Insights,0.0,0.0
bctech2019,Streamlining Time Calculation in Warehouse Management: Leveraging ShipHero API and Google BigQuery Integration - Blackcoffer Insights,0.0,0.0
bctech2020,Efficient Database Design and Management: Streamlining Access and Integration for Partner Entity Management - Blackcoffer Insights,0.0,0.0
bctech2021,Automated Campaign Management System: A Comprehensive Solution with LinkedIn and Email Integration - Blackcoffer Insights,0.0,0.0
bctech2022,AI-driven data analysis AI tool using Langchain for a leading real estate and financing firm worldwide - Blackcoffer Insights,0.0,0.35000000000000003
bctech2023,Grafana Dashboard to visualize and analyze sensors’ data - Blackcoffer Insights,0.0,0.0
bctech2024,MVP for a software that analyses content from audio (Pharma-based) - Blackcoffer Insights,0.0,0.0
bctech2025,Data Engineering and Management tool (Airbyte) with custom data connectors to manage CRM database - Blackcoffer Insights,0.0,0.0
bctech2026,Text Summarizing Tool to scrape and summarize pubmed medical papers  - Blackcoffer Insights,0.0,0.0
bctech2027,"7up7down, 10upDown, Snakes and Ladder Games built using OOPs - Blackcoffer Insights",0.0,0.0
bctech2028,Data Studio Dashboard with a data pipeline tool synced with Podio using custom Webhooks and Google Cloud Function - Blackcoffer Insights,0.0,0.0
bctech2029,End-to-end tool to optimize routing and planning of field engineers using Google’s CVRP-TW algorithm - Blackcoffer Insights,0.0,0.0
bctech2030,End-to-end tool to predict Biofuel prices using IESO data - Blackcoffer Insights,0.0,0.0
bctech2031,"ETL Discovery Tool using LLMA, Langchain, OpenAI - Blackcoffer Insights",0.0,0.0
bctech2032,GPT/OCR API - Blackcoffer Insights,0.0,0.0
bctech2033,Dockerize the AWS Lambda for serverless architecture - Blackcoffer Insights,0.0,0.0
bctech2034,Design and develop a product recommendation engine based on the features of products - Blackcoffer Insights,0.0,0.0
bctech2035,Database Discovery Tool using OpenAI - Blackcoffer Insights,0.0,0.0
bctech2036,Automate the Data Management Process - Blackcoffer Insights,0.0,0.0
bctech2037,Realtime Kibana Dashboard for a financial tech firm - Blackcoffer Insights,-0.1,0.2
bctech2038,"Data Management, ETL, and Data Automation - Blackcoffer Insights",0.0,0.0
bctech2039,Data Management - EGEAS - Blackcoffer Insights,0.0,0.0
bctech2040,Design and develop PowerShell script - Blackcoffer Insights,0.0,0.0
bctech2041,Design and develop Jenkins shared library - Blackcoffer Insights,0.0,0.0
bctech2042,Design and develop retool app for wholecell.io and Asana data using their api’s - Blackcoffer Insights,0.0,0.0
bctech2043,Design and develop a retool app that will show stock and crypto related information using IEX API - Blackcoffer Insights,0.0,0.4
bctech2044,"CRM (Monday.com, Make.com) to Data Warehouse to Klipfolio Dashboard - Blackcoffer Insights",0.0,0.0
bctech2045,NER Task using BERT with data in XML-format - Blackcoffer Insights,0.0,0.0
bctech2046,Qualtrics API integration using Python - Blackcoffer Insights,0.0,0.0
bctech2047,Design and develop MLops framework for Data-centric AI - Blackcoffer Insights,0.0,0.0
bctech2048,NLP-based Approach for Data Transformation - Blackcoffer Insights,0.0,0.0
bctech2049,An ETL tool to pull data from Shiphero to Google Bigquery Data Warehouse - Blackcoffer Insights,0.0,0.0
bctech2050,Plaid Financial Analytics - A Data-Driven Dashboard to generate insights - Blackcoffer Insights,0.0,0.0
bctech2051,Recommendation Engine for Insurance Sector to Expand Business in the Rural Area - Blackcoffer Insights,0.0,0.0
bctech2052,Data from CRM via Zapier to Google Sheets (Dynamic) to PowerBI - Blackcoffer Insights,0.0,0.16666666666666666
bctech2053,Data Warehouse to Google Data Studio (Looker) Dashboard - Blackcoffer Insights,0.0,0.0
bctech2054,"CRM, Monday.com via Zapier to Power BI Dashboard - Blackcoffer Insights",0.0,0.0
bctech2055,"Monday.com to KPI Dashboard to manage, view, and generate insights from the CRM data - Blackcoffer Insights",0.0,0.0
bctech2056,Data Management for a Political SaaS Application - Blackcoffer Insights,0.0,0.1
bctech2057,Google LSA Ads (Google Local Service Ads) – ETL tools and Dashboards - Blackcoffer Insights,0.0,0.0
bctech2058,Ad Networks Marketing Campaign Data Dashboard in Looker (Google Data Studio) - Blackcoffer Insights,0.0,0.0
bctech2059,Analytical solution for a tech firm - Blackcoffer Insights,-0.2,0.4
bctech2060,"AI solution for a Technology, Information and Internet firm - Blackcoffer Insights",-0.2,0.4
bctech2061,AI and NLP-based Solutions to Automate Data Discovery for Venture Capital and Private Equity Principals - Blackcoffer Insights,0.0,0.375
bctech2062,An ETL solution for an Internet Publishing firm - Blackcoffer Insights,-0.2,0.4
bctech2063,AI-Based Algorithmic Trading Bot for Forex - Blackcoffer Insights,0.0,0.0
bctech2064,Equity Waterfalls Model-Based SaaS Application for Real Estate Sector - Blackcoffer Insights,0.2,0.30000000000000004
bctech2065,AI Solutions for Foreign Exchange - An Automated Algo Trading Tool - Blackcoffer Insights,-0.125,0.125
bctech2066,AI agent development and Deployment in Jina AI - Blackcoffer Insights,0.0,0.0
bctech2067,Golden Record - A knowledge graph database approach to unfold discovery using Neo4j - Blackcoffer Insights,0.3,0.5
bctech2068,Advanced AI for Trading Automation - Blackcoffer Insights,0.4,0.6
bctech2069,"Create a Knowledge Graph to Provide Real-time Analytics, Recommendations, and a Single Source of Truth - Blackcoffer Insights",-0.07142857142857142,0.21428571428571427
bctech2070,Advanced AI for Thermal Person Detection - Blackcoffer Insights,0.4,0.6
bctech2071,Advanced AI for Road Cam Threat Detection - Blackcoffer Insights,0.4,0.6
bctech2072,Advanced AI for Pedestrian Crossing Safety - Blackcoffer Insights,0.4,0.6
bctech2073,Advanced AI for Handgun Detection - Blackcoffer Insights,0.4,0.6
bctech2074,Using Graph Technology to Create Single Customer View. - Blackcoffer Insights,-0.07142857142857142,0.21428571428571427
bctech2075,Car Detection in Satellite Images - Blackcoffer Insights,0.0,0.0
bctech2076,Building a Physics-Informed Neural Network for Circuit Evaluation - Blackcoffer Insights,0.0,0.0
bctech2077,Connecting MongoDB Database to Power BI Dashboard: Dashboard Automation - Blackcoffer Insights,0.0,0.0
bctech2078,Data Transformation - Blackcoffer Insights,0.0,0.0
bctech2079,"E-commerce Store Analysis - Purchase Behavior, Ad Spend, Conversion, Traffic, etc... - Blackcoffer Insights",0.0,0.0
bctech2080,KPI Dashboard for Accountants - Blackcoffer Insights,0.0,0.0
bctech2081,Return on Advertising Spend Dashboard: Marketing Automation and Analytics using ETL and Dashboard - Blackcoffer Insights,0.0,0.0
bctech2082,Ranking customer behaviours for business strategy - Blackcoffer Insights,0.0,0.0
bctech2083,"Algorithmic trading for multiple commodities markets, like Forex, Metals, Energy, etc. - Blackcoffer Insights",0.0,0.0
bctech2084,Trading Bot for FOREX - Blackcoffer Insights,0.0,0.0
bctech2085,Python model for the analysis of sector-specific stock ETFs for investment purposes - Blackcoffer Insights,0.0,0.0
bctech2086,Medical Classification - Blackcoffer Insights,0.0,0.0
bctech2087,Design & Develop BERT Question Answering model explanations with visualization - Blackcoffer Insights,0.0,0.0
bctech2088,Design and develop solution to anomaly detection classification problems - Blackcoffer Insights,0.0,0.0
bctech2089,An ETL Solution for Currency Data to Google Big Query - Blackcoffer Insights,0.0,0.1
bctech2090,ETL and MLOps Infrastructure for Blockchain Analytics - Blackcoffer Insights,0.0,0.0
bctech2091,An agent-based model of a Virtual Power Plant (VPP) - Blackcoffer Insights,0.0,0.0
bctech2092,Transform API into SDK library and widget - Blackcoffer Insights,0.0,0.0
bctech2093,Integration of a product to a cloud-based CRM platform - Blackcoffer Insights,0.0,0.0
bctech2094,A web-based dashboard for the filtered data retrieval of land records - Blackcoffer Insights,0.0,0.0
bctech2095,Integration of video-conferencing data to the existing web app - Blackcoffer Insights,0.0,0.0
bctech2096,Design & develop an app in retool which shows the progress of the added video - Blackcoffer Insights,0.0,0.0
bctech2097,"Auvik, Connectwise integration in Grafana - Blackcoffer Insights",0.0,0.0
bctech2098,Data integration and big data performance using Elasticsearch - Blackcoffer Insights,0.0,0.1
bctech2099,Web Data Connector - Blackcoffer Insights,0.0,0.0
bctech2100,An app for updating the email id of the user and stripe refund tool using retool - Blackcoffer Insights,0.0,0.0
bctech2101,An AI ML-based web application that detects the correctness of text in a given video - Blackcoffer Insights,0.0,0.0
bctech2102,"Website Tracking and Insights using Google Analytics, & Google Tag Manager - Blackcoffer Insights",0.0,0.0
bctech2103,Dashboard to track the analytics of the website using Google Analytics and Google Tag Manager - Blackcoffer Insights,0.0,0.0
bctech2104,"Power BI Dashboard on Operations, Transactions, and Marketing, Anaytics",0.0,0.0
bctech2105,"NFT Data Automation (looksrare), and ETL tool - Blackcoffer Insights",0.0,0.0
bctech2106,Optimize the data scraper program to easily accommodate large files and solve OOM errors - Blackcoffer Insights,0.3238095238095238,0.6309523809523809
bctech2107,Making a robust way to sync data from airtables to mongoDB using python - ETL Solution - Blackcoffer Insights,0.0,0.0
bctech2108,Incident Duration Prediction - Infrastructure and Real Estate - Blackcoffer Insights,0.2,0.30000000000000004
bctech2109,Statistical Data Analysis of Reinforced Concrete - Blackcoffer Insights,0.15000000000000002,0.30000000000000004
bctech2110,Database Normalization & Segmentation with Google Data Studio Dashboard Insights - Blackcoffer Insights,0.0,0.0
bctech2111,Power BI dashboard to drive insights from complex data to generate business insights - Blackcoffer Insights,-0.3,0.4
bctech2112,Real-time dashboard to monitor infrastructure activity and Machines - Blackcoffer Insights,0.0,0.0
bctech2113,Electric Vehicles (EV) Load Management System to Forecast Energy Demand - Blackcoffer Insights,0.0,0.0
bctech2114,Power BI Data-Driven Map Dashboard - Blackcoffer Insights,0.0,0.0
bctech2115,Google Local Service Ads (LSA) Leads Dashboard - Blackcoffer Insights,0.0,0.0
bctech2116,AWS Lex Voice and Chatbot - Blackcoffer Insights,0.0,0.0
bctech2117,"MetaBridges API Decentraland Integration - AR, VR - Blackcoffer Insights",0.0,0.0
bctech2118,Microsoft Azure chatbot with LUIS (Language Understanding) - Blackcoffer Insights,0.0,0.0
bctech2119,"Impact of news, media, and press on innovation, startups, and investments - Blackcoffer Insights",0.0,0.0
bctech2120,AWS QuickSight Reporting Dashboard - Blackcoffer Insights,0.0,0.0
bctech2121,"Google Data Studio Dashboard for Marketing, ads and Traction data - Blackcoffer Insights",0.0,0.0
bctech2122,Gangala.in: E-commerce Big Data ETL / ELT Solution and Data Warehouse - Blackcoffer Insights,0.0,0.1
bctech2123,Big Data solution to an online multivendor marketplace eCommerce business - Blackcoffer Insights,0.0,0.1
bctech2124,Creating a custom report and dashboard using the data got from Atera API - Blackcoffer Insights,0.0,0.0
bctech2125,Azure Data Lake and Power BI Dashboard - Blackcoffer Insights,0.0,0.0
bctech2126,Google Data Studio Pipeline with GCP/MySQL - Blackcoffer Insights,0.0,0.0
bctech2127,"QuickBooks dashboard to find patterns in finance, sales, and forecasts - Blackcoffer Insights",0.0,0.0
bctech2128,"Marketing, sales, and financial data business dashboard (Wink Report) - Blackcoffer Insights",0.0,0.0
bctech2129,React Native Apps in the Development Portfolio - Blackcoffer Insights,0.0,0.0
bctech2130,"A Leading Law Firm in the USA, Website SEO & Optimization - Blackcoffer Insights",-0.2,0.4
bctech2131,"A Leading Hospitality Firm in the USA, Website SEO & Optimization - Blackcoffer Insights",-0.2,0.4
bctech2132,"A Leading Firm in the USA, Website SEO & Optimization - Blackcoffer Insights",-0.2,0.4
bctech2133,"A Leading Musical Instrumental, Website SEO & Optimization - Blackcoffer Insights",0.0,0.0
bctech2134,"A Leading Firm in the USA, SEO and Website Optimization - Blackcoffer Insights",-0.2,0.4
bctech2135,Immigration Datawarehouse & AI-based recommendations - Blackcoffer Insights,0.0,0.0
bctech2136,Lipsync Automation for Celebrities and Influencers - Blackcoffer Insights,0.0,0.0
bctech2137,Key Audit Matters Predictive Modeling - Blackcoffer Insights,0.0,1.0
bctech2138,Splitting of Songs into its Vocals and Instrumental - Blackcoffer Insights,0.0,0.0
bctech2139,AI and ML technologies to Evaluate Learning Assessments - Blackcoffer Insights,0.0,0.0
bctech2140,"Datawarehouse, and Recommendations Engine for AirBNB - Blackcoffer Insights",0.0,0.0
bctech2141,Real Estate Data Warehouse - Blackcoffer Insights,0.2,0.30000000000000004
bctech2142,Traction Dashboards of Marketing Campaigns and Posts - Blackcoffer Insights,0.0,0.0
bctech2143,Google Local Service Ads (LSA) Data Warehouse - Blackcoffer Insights,0.0,0.0
bctech2144,Google Local Service Ads Missed Calls and Messages Automation Tool - Blackcoffer Insights,0.0,0.0
bctech2145,Marketing Ads Leads Call Status Data Tool to BigQuery - Blackcoffer Insights,0.0,0.0
bctech2146,Marketing Analytics to Automate Leads Call Status and Reporting - Blackcoffer Insights,0.0,0.0
bctech2147,"CallRail, Analytics & Leads Report Alert - Blackcoffer Insights",0.0,0.0
bctech2148,Marketing Tool to Notify Leads to Clients over Email and Phone - Blackcoffer Insights,0.0,0.0
bctech2149,Data ETL: Local Service Ads Leads to BigQuery - Blackcoffer Insights,0.0,0.0
bctech2150,Marbles Stimulation using python - Blackcoffer Insights,0.0,0.0
bctech2151,Stocktwits Data Structurization - Blackcoffer Insights,0.0,0.0
bctech2152,Sentimental Analysis on Shareholder Letter of Companies - Blackcoffer Insights,-0.25,1.0
bctech2153,Population and Community Survey of America - Blackcoffer Insights,0.0,0.0
bctech2154,Google LSA API Data Automation and Dashboarding - Blackcoffer Insights,0.0,0.0
bctech2155,Healthcare Data Analysis - Blackcoffer Insights,0.0,0.0
bctech2156,"Budget, Sales KPI Dashboard using Power BI - Blackcoffer Insights",0.0,0.0
bctech2157,"Amazon Buy Bot, an Automation AI tool to Auto-Checkouts - Blackcoffer Insights",0.0,0.0
